Years of sample collection,Sex,estimatedAge,Shoulder height (cm),Tusk length (cm),Tusk circumference (cm)
1966-68,f,16,222,97,17.5
1966-68,f,16,223,118,17.75
1966-68,f,16.5,230,83,14.25
1966-68,f,17,226,87,16
1966-68,f,17,222,101.5,16.5
1966-68,f,18,226,93,18
1966-68,f,19,230,114,22.25
1966-68,f,19,228,108,18
1966-68,f,19,227,112.5,19
1966-68,f,20,230,97.5,18
1966-68,f,20,230,94.5,18.75
1966-68,f,20,216,,
1966-68,f,20,213,107.5,17
1966-68,f,22,226,127,23
1966-68,f,22,249,95,20.5
1966-68,f,22,243,115,22
1966-68,f,22,239,112.5,21
1966-68,f,23,228,94.5,17.5
1966-68,f,23,246,106,19.75
1966-68,f,23,226,125.5,21.5
1966-68,f,23,223,,
1966-68,f,23.5,237,123.5,25.3
1966-68,f,24,239,110.5,19.5
1966-68,f,24,222,115.75,20
1966-68,f,25,235,107,20.5
1966-68,f,25,241,114.3,21
1966-68,f,25,232,135.3,24.25
1966-68,f,26,231,132,22.25
1966-68,f,26,223,112.6,17.3
1966-68,f,26,240,106.75,20.5
1966-68,f,26,248,116.75,19.5
1966-68,f,26,235,118,21.5
1966-68,f,26,238,120.5,22
1966-68,f,28,243,98.5,22
1966-68,f,28,242,90.5,23
1966-68,f,28,240,146,20.25
1966-68,f,28,243,140,24
1966-68,f,28,255,119.5,21.5
1966-68,f,28,244,154.75,25.75
1966-68,f,28,236,126.25,21.75
1966-68,f,29,226,102.75,17.25
1966-68,f,29,238,135,24
1966-68,f,30,238,107,21.25
1966-68,f,30,252,150,22
1966-68,f,30,242,123,21
1966-68,f,30,257,134,26
1966-68,f,31,243,129.5,24
1966-68,f,31,235,,
1966-68,f,32,242,174,25.5
1966-68,f,32,242,135,24.25
1966-68,f,32,236,113,20
1966-68,f,32,250,137,25.25
1966-68,f,32,262,143.5,24
1966-68,f,33,246,132,23.5
1966-68,f,34,246,135,25
1966-68,f,34,248,,
1966-68,f,34,262,124.75,24
1966-68,f,34,239,104.5,22
1966-68,f,34,243,117.5,22.25
1966-68,f,34,244,124.5,23
1966-68,f,34,249,143,22.5
1966-68,f,35,254,149,26.25
1966-68,f,36,241,129.75,25.25
1966-68,f,36,241,134,22.5
1966-68,f,38,243,146,25.75
1966-68,f,40,247,174,25.75
1966-68,f,41,236,145.5,23
1966-68,f,41,257,127,22
1966-68,f,43,256,174.5,23
1966-68,f,45,251,143,27.6
1966-68,f,48,250,134.5,23.5
1966-68,f,49,251,147.75,27.5
1966-68,f,50,276,187,28
1966-68,f,51,243,,28
1966-68,f,51,250,,24.3
1966-68,f,52,244,,23.75
1966-68,f,52,250,,
1966-68,f,53,243,,27
1966-68,f,55,238,,22
1966-68,f,55,253,,27.75
1966-68,f,,255,,24
1966-68,m,0.25,107,,
1966-68,m,0.25,106,,
1966-68,m,0.5,123,,
1966-68,m,0.5,114,,
1966-68,m,0.5,105,,
1966-68,m,0.5,113,,
1966-68,m,0.5,110,,
1966-68,m,0.5,122,,
1966-68,m,0.5,115,,
1966-68,m,0.5,123,,
1966-68,m,0.75,117,,
1966-68,m,0.75,115,,
1966-68,m,0.75,112,,
1966-68,m,0.75,116,,
1966-68,m,0.75,128,,
1966-68,m,0.75,116,,
1966-68,m,0.75,108,,
1966-68,m,1,120,,
1966-68,m,1,109,,
1966-68,m,1,120,,
1966-68,m,1,131,,
1966-68,m,1.75,129,,
1966-68,m,1.75,129,,
1966-68,m,1.75,137,,
1966-68,m,2,145,,
1966-68,m,2,137,,
1966-68,m,2,140,28.5,12.75
1966-68,m,2.5,148,,
1966-68,m,2.5,155,,
1966-68,m,2.5,147,,
1966-68,m,2.5,152,33.5,13.5
1966-68,m,2.5,148,26,10.75
1966-68,m,2.5,149,32,13
1966-68,m,2.5,148,27,12
1966-68,m,2.5,164,36.75,13
1966-68,m,2.5,153,34.5,13.5
1966-68,m,3,167,,
1966-68,m,3,154,,
1966-68,m,3,157,43,14
1966-68,m,3,171,48.5,15.75
1966-68,m,3,161,50,16
1966-68,m,3,157,44,15
1966-68,m,3.5,173,54,17.25
1966-68,m,3.5,169,54.25,16
1966-68,m,3.5,157,46,14.75
1966-68,m,3.5,167,50.5,18
1966-68,m,3.5,160,45,14
1966-68,m,4,171,58,17.5
1966-68,m,4,168,58,14.5
1966-68,m,4,176,59,16.75
1966-68,m,4,173,51,13.75
1966-68,m,4,168,53,16
1966-68,m,4.5,162,50.5,14.5
1966-68,m,4.5,178,64,16.3
1966-68,m,4.5,174,61.25,16.75
1966-68,m,5,161,48,15.75
1966-68,m,5,167,61.5,17.75
1966-68,m,5.5,168,57.5,15
1966-68,m,6,186,71.5,18.3
1966-68,m,7,183,64,16.5
1966-68,m,7,180,73,18
1966-68,m,7,188,81,21
1966-68,m,7,194,82.5,20.5
1966-68,m,7.5,201,88,21.5
1966-68,m,8,205,,
1966-68,m,8,207,84,20
1966-68,m,8,197,91,20.75
1966-68,m,8,212,88,19.25
1966-68,m,8,182,71.25,16.3
1966-68,m,8,202,92.5,22
1966-68,m,8.5,203,80.5,19.5
1966-68,m,8.5,213,82.5,18.3
1966-68,m,8.5,216,97.5,23
1966-68,m,9,208,83,20.5
1966-68,m,9,200,98.75,21.5
1966-68,m,9,199,90,20
1966-68,m,9,207,89,20
1966-68,m,9.5,204,73.25,16
1966-68,m,10,200,94.75,20.3
1966-68,m,10,231,117,22
1966-68,m,10,200,97,21.5
1966-68,m,10.5,215,113,20.3
1966-68,m,11,218,104,23
1966-68,m,11,206,82,19.5
1966-68,m,12,226,97,23.3
1966-68,m,14,225,,
1966-68,m,14.5,242,120,25
1966-68,m,15,244,132,30
1966-68,m,15,245,122.5,27.25
1966-68,m,15,242,108,24.5
1966-68,m,15,239,114,25
1966-68,m,15,235,124,23.6
1966-68,m,15,241,120,26
1966-68,m,15,238,131.5,30
1966-68,m,15,236,144.5,27.5
1966-68,m,16,236,125,25
1966-68,m,16,224,99,18.5
1966-68,m,16,244,131,28
1966-68,m,16.5,244,122.5,25.75
1966-68,m,16.5,240,129,27
1966-68,m,17,246,127.5,25
1966-68,m,17,237,144,30.25
1966-68,m,18,265,108,27.5
1966-68,m,18,246,130,28.5
1966-68,m,18,234,132.25,27
1966-68,m,19,251,149,30
1966-68,m,20,261,145,30
1966-68,m,20,272,141,29
1966-68,m,20,247,150,29
1966-68,m,22,261,130,30.25
1966-68,m,22,245,139,30
1966-68,m,22.5,244,157.5,34
1966-68,m,22.5,255,153,30.5
1966-68,m,22.5,263,110.5,32.5
1966-68,m,23,273,140.5,32.5
1966-68,m,23,266,134,30.5
1966-68,m,23,273,151,33
1966-68,m,23,253,121,30
